gig_id,gig_type,platform,location_lat,location_lng,start_time,end_time,earnings,gig_status,demand_score,travel_distance,estimated_time_to_complete,user_id
54,Delivery,Zepto,19.169613138700775,72.83401249567021,2025-01-02 15:36:03,2025-01-02 16:36:03,3102.02,Cancelled,0.61,14.8,48,642
55,Driver,Uber,19.146437577366836,72.74740530286218,2025-01-04 01:57:56,2025-01-04 03:57:56,3017.52,Cancelled,0.96,3.3,114,984
56,Delivery,Zepto,18.708929829428282,72.77832046695538,2025-01-07 02:08:33,2025-01-07 06:08:33,1490.37,Completed,0.62,7.0,90,946
57,Freelance,Fiverr,18.837727808512668,72.96418718813739,2025-01-09 11:44:49,2025-01-09 13:44:49,759.18,Cancelled,0.83,10.5,132,367
58,Delivery,Zomato,18.893935701972396,72.85109422487518,2025-01-13 12:22:00,2025-01-13 14:22:00,1232.88,Completed,0.66,5.2,91,547
59,Delivery,MagicPin,19.248225519759043,72.74940448174753,2025-01-01 00:23:22,2025-01-01 02:23:22,3786.44,Completed,0.67,3.3,157,150
60,Delivery,Blinkit,18.53055101214945,72.88371080944837,2025-01-04 07:22:39,2025-01-04 11:22:39,3938.03,Cancelled,0.87,6.4,58,856
61,Freelance,Fiverr,19.349626099885477,72.90587680988695,2025-01-04 22:43:12,2025-01-05 03:43:12,220.92,Cancelled,0.61,5.0,143,945
62,Delivery,Zomato,18.870206557334452,72.78690362432108,2025-01-09 03:36:50,2025-01-09 04:36:50,2179.79,In-progress,0.73,11.8,180,757
63,Delivery,Zomato,18.821286777433183,72.88025815061849,2025-01-13 01:02:18,2025-01-13 03:02:18,2755.98,Completed,0.72,7.1,63,156
64,Freelance,Fiverr,18.930181592225296,72.90140327478521,2025-01-02 15:30:06,2025-01-02 17:30:06,2261.95,Completed,0.92,14.7,89,531
65,Delivery,Zomato,18.902316184238483,72.8560264886281,2025-01-05 16:19:59,2025-01-05 19:19:59,4611.81,Cancelled,0.63,9.1,83,545
66,Delivery,MagicPin,19.344063965178123,72.70611590954269,2025-01-20 19:21:12,2025-01-20 23:21:12,4553.98,Cancelled,0.94,2.0,168,964
67,Delivery,Zomato,18.757019430614736,72.74362593158757,2025-01-03 17:45:56,2025-01-03 19:45:56,4647.53,Cancelled,0.53,10.3,43,606
68,Driver,InDrive,18.789804683797062,72.86028740717397,2025-01-09 03:51:51,2025-01-09 05:51:51,490.16,In-progress,0.95,10.2,38,413
69,Freelance,Fiverr,19.07679714283155,72.98949005854627,2025-01-19 20:24:49,2025-01-19 23:24:49,1245.26,In-progress,0.93,7.7,121,201
70,Driver,Ola,18.806301090844308,72.74765137947787,2025-01-21 01:47:00,2025-01-21 05:47:00,3620.48,Cancelled,0.88,14.6,127,469
71,Driver,Ola,18.692286388468073,72.86648080277935,2025-01-08 23:02:06,2025-01-09 04:02:06,3433.03,In-progress,0.9,4.2,172,907
72,Delivery,MagicPin,19.23223226998555,72.92070442561881,2025-01-04 08:34:50,2025-01-04 12:34:50,3027.21,Completed,0.53,5.0,161,119
73,Freelance,Fiverr,19.24681413455373,72.79893831237138,2025-01-16 16:52:12,2025-01-16 21:52:12,1684.32,In-progress,0.58,12.3,123,972
74,Delivery,Swiggy,18.993193291281738,72.80473220532737,2025-01-04 02:46:16,2025-01-04 04:46:16,1328.29,In-progress,0.66,12.5,33,869
75,Freelance,Fiverr,18.620441964960122,72.7486405771068,2025-01-04 19:09:56,2025-01-04 23:09:56,1212.2,In-progress,0.65,12.9,92,192
76,Driver,InDrive,19.433458676407458,72.88697470773718,2025-01-10 00:09:02,2025-01-10 04:09:02,4190.79,Completed,0.61,14.4,178,194
77,Delivery,Zepto,18.854489743969836,72.71685491853943,2025-01-08 20:01:52,2025-01-08 22:01:52,4285.83,Cancelled,0.65,8.6,103,919
78,Delivery,Blinkit,18.80060745269667,72.80144384865612,2025-01-06 12:25:47,2025-01-06 16:25:47,1960.05,Completed,0.53,14.4,15,956
79,Driver,Uber,18.91729175578712,72.85236523195212,2025-01-03 18:21:34,2025-01-03 20:21:34,3677.58,Cancelled,0.65,6.4,168,461
80,Delivery,Zomato,18.656599182906287,72.90349244811085,2025-01-13 13:57:33,2025-01-13 17:57:33,2297.11,Completed,0.95,4.7,86,730
81,Freelance,Fiverr,19.10201713096134,72.9397051086126,2025-01-07 05:14:04,2025-01-07 07:14:04,2961.08,Completed,0.91,4.9,109,406
82,Delivery,Zomato,18.816115430508464,72.85683659205426,2025-01-11 04:31:08,2025-01-11 08:31:08,1907.52,Completed,0.98,5.9,31,163
83,Delivery,MagicPin,18.61692185381798,72.98877300972755,2025-01-15 20:02:47,2025-01-15 22:02:47,4086.66,In-progress,0.83,1.4,129,67
84,Driver,Uber,19.22087554909554,72.708719554679,2025-01-17 09:40:27,2025-01-17 12:40:27,287.7,Cancelled,0.89,5.7,176,785
85,Driver,Ola,18.871976785707925,72.90264058716637,2025-01-21 08:22:55,2025-01-21 11:22:55,3237.03,Cancelled,0.98,7.3,29,559
86,Driver,Uber,18.672128125401898,72.83075494116252,2025-01-19 21:41:50,2025-01-20 00:41:50,519.75,Completed,0.69,4.0,81,577
87,Freelance,Fiverr,19.0427276067269,72.78416452782753,2025-01-18 12:40:06,2025-01-18 15:40:06,3371.8,In-progress,0.84,11.8,168,26
88,Driver,Ola,18.55829908012963,72.71591965786456,2025-01-01 06:08:19,2025-01-01 09:08:19,238.73,Completed,0.93,8.1,163,576
89,Delivery,Swiggy,19.214748925599825,72.78367140473091,2025-01-12 21:21:23,2025-01-13 01:21:23,145.51,In-progress,0.81,11.6,114,733
90,Delivery,Zepto,18.828924809597623,72.92012542388711,2025-01-15 15:32:38,2025-01-15 18:32:38,1053.27,In-progress,0.58,11.6,151,32
91,Driver,Ola,18.90896023972627,72.76386864016438,2025-01-15 10:05:16,2025-01-15 12:05:16,1340.53,Completed,0.97,12.0,75,787
92,Delivery,Zepto,18.958507410287698,72.74187921368646,2025-01-10 04:30:28,2025-01-10 09:30:28,3030.83,In-progress,0.65,1.9,179,404
93,Driver,InDrive,18.999150143313354,72.82121411879206,2025-01-20 00:48:16,2025-01-20 04:48:16,523.87,In-progress,0.97,5.8,104,797
94,Delivery,Blinkit,19.121697308774202,72.82485202479675,2025-01-09 14:26:33,2025-01-09 17:26:33,4346.89,In-progress,0.86,12.2,79,370
95,Delivery,Zepto,19.22331719512404,72.99937510265953,2025-01-03 19:22:02,2025-01-03 20:22:02,1696.13,Completed,0.52,9.0,173,999
96,Delivery,Swiggy,19.38709615993574,72.8499881126484,2025-01-03 10:54:12,2025-01-03 11:54:12,3053.58,In-progress,0.7,11.7,54,380
97,Freelance,Fiverr,18.785551011972185,72.76723212378289,2025-01-02 09:37:04,2025-01-02 12:37:04,3805.6,In-progress,0.91,7.6,94,474
98,Delivery,Zomato,18.917051603311645,72.92315674175151,2025-01-13 00:56:59,2025-01-13 02:56:59,4153.29,In-progress,0.57,11.4,118,921
99,Driver,Uber,19.06698825137277,72.74322472791276,2025-01-10 12:10:47,2025-01-10 16:10:47,895.26,Cancelled,0.82,8.0,68,576
100,Freelance,Fiverr,19.2541542996031,72.93892310318591,2025-01-17 07:48:30,2025-01-17 10:48:30,4314.38,Cancelled,0.51,4.5,32,100
101,Freelance,Fiverr,18.93175714891032,72.96748743873076,2025-01-13 02:30:17,2025-01-13 07:30:17,1780.17,Cancelled,0.71,10.7,139,918
102,Driver,InDrive,18.741397051457984,72.78898220338031,2025-01-18 06:37:04,2025-01-18 11:37:04,1258.03,Completed,0.98,11.3,146,410
103,Driver,Uber,18.581564684949306,72.70649723191669,2025-01-12 20:10:11,2025-01-13 00:10:11,707.8,In-progress,0.64,11.8,56,757
104,Driver,Ola,18.71784176349985,72.96469128419466,2025-01-16 08:57:42,2025-01-16 10:57:42,246.52,In-progress,0.97,8.9,178,910
105,Freelance,Fiverr,18.93834252330086,72.89629662862238,2025-01-18 08:40:36,2025-01-18 12:40:36,3028.1,Cancelled,0.72,1.4,91,762
106,Delivery,Blinkit,19.364797637604216,72.9853448557517,2025-01-08 05:20:44,2025-01-08 07:20:44,3018.63,In-progress,0.64,11.7,139,93
107,Driver,Uber,19.203515388231523,72.95185132365366,2025-01-04 21:29:18,2025-01-04 22:29:18,1120.54,Completed,0.87,3.2,131,147
108,Driver,InDrive,19.245869446018524,72.86729156922765,2025-01-20 22:06:35,2025-01-21 01:06:35,2786.51,In-progress,1.0,6.1,151,959
109,Delivery,Zepto,19.3668893148652,72.70595358400331,2025-01-12 01:19:12,2025-01-12 04:19:12,1637.47,In-progress,0.88,7.0,57,819
110,Driver,InDrive,18.57699159045403,72.93406773730312,2025-01-09 10:04:31,2025-01-09 12:04:31,329.75,Completed,0.99,10.8,112,459
111,Freelance,Fiverr,18.862609545245046,72.75966772050498,2025-01-09 11:41:29,2025-01-09 15:41:29,4581.64,In-progress,0.63,2.0,38,519
112,Driver,Ola,18.947270825143693,72.98866716319547,2025-01-14 11:43:36,2025-01-14 13:43:36,382.98,Completed,0.88,1.8,102,772
113,Driver,InDrive,18.58687813299528,72.86300490000646,2025-01-15 21:23:22,2025-01-15 23:23:22,2340.64,Cancelled,0.92,5.3,10,72
114,Driver,Ola,19.02102936168956,72.75733713357738,2025-01-04 10:39:25,2025-01-04 12:39:25,3427.44,Completed,0.77,8.9,94,877
115,Freelance,Fiverr,19.31332300102881,72.80197664426557,2025-01-15 11:29:41,2025-01-15 14:29:41,4871.45,In-progress,0.61,14.5,89,237
116,Freelance,Fiverr,19.166868738386864,72.71120798198503,2025-01-04 22:15:13,2025-01-05 03:15:13,4773.44,In-progress,0.66,10.0,18,496
117,Freelance,Fiverr,19.303455450407583,72.70803183565194,2025-01-01 00:32:20,2025-01-01 01:32:20,4087.74,Completed,0.79,12.2,135,755
118,Delivery,Swiggy,19.382951748885482,72.74443480836842,2025-01-09 12:09:18,2025-01-09 13:09:18,2687.59,Cancelled,0.64,14.3,134,996
119,Freelance,Fiverr,19.08322443089765,72.94522109971105,2025-01-07 02:08:28,2025-01-07 05:08:28,2610.19,Completed,0.73,6.3,109,694
120,Delivery,Zepto,18.691453821486583,72.92488908919968,2025-01-13 11:37:00,2025-01-13 12:37:00,3509.54,In-progress,0.93,4.1,153,164
121,Driver,Ola,18.69456858234062,72.89675245129878,2025-01-06 15:11:46,2025-01-06 18:11:46,2745.5,In-progress,0.69,10.4,88,344
122,Driver,Ola,19.281401524364675,72.79062826039412,2025-01-05 17:34:27,2025-01-05 21:34:27,3876.11,In-progress,0.92,6.2,94,374
123,Delivery,Blinkit,19.142926578800505,72.97996814536393,2025-01-18 08:45:51,2025-01-18 09:45:51,3522.29,Completed,0.78,5.7,84,411
124,Freelance,Fiverr,19.168619175241492,72.98080572746498,2025-01-17 15:17:27,2025-01-17 16:17:27,4275.17,In-progress,0.82,3.8,92,617
125,Driver,Uber,18.685093168700195,72.94138989745885,2025-01-11 17:27:20,2025-01-11 22:27:20,800.12,Completed,0.77,2.6,104,254
126,Delivery,Blinkit,19.289648509314347,72.98502872854795,2025-01-08 19:09:13,2025-01-08 20:09:13,4608.39,Completed,0.73,12.9,67,918
127,Freelance,Fiverr,19.36450032044643,72.83810764788093,2025-01-05 09:40:20,2025-01-05 11:40:20,3599.79,Cancelled,0.58,1.0,165,816
128,Freelance,Fiverr,18.997655896512608,72.72207414284976,2025-01-06 15:07:00,2025-01-06 16:07:00,4227.22,Cancelled,0.51,2.2,126,699
129,Driver,InDrive,19.4904275640822,72.74076896995493,2025-01-16 22:27:36,2025-01-17 01:27:36,4272.63,Cancelled,0.77,4.4,171,285
130,Driver,Ola,19.228653718173558,72.7477587745984,2025-01-13 13:08:54,2025-01-13 18:08:54,517.0,In-progress,0.85,13.4,160,195
131,Delivery,MagicPin,18.996556868783593,72.87504551114957,2025-01-13 09:31:23,2025-01-13 12:31:23,4125.49,In-progress,0.96,1.8,150,369
132,Driver,InDrive,19.341947101913604,72.83832811222717,2025-01-14 12:04:51,2025-01-14 16:04:51,913.83,Cancelled,0.54,13.6,104,237
133,Delivery,Swiggy,19.25767913245458,72.80586028255615,2025-01-17 03:23:45,2025-01-17 07:23:45,1004.18,In-progress,0.65,13.1,170,716
134,Delivery,Zepto,18.70102058156966,72.98606686653673,2025-01-05 23:29:23,2025-01-06 01:29:23,3498.42,Completed,0.57,2.5,11,16
135,Driver,Ola,19.38727468403638,72.86656017853159,2025-01-13 16:11:08,2025-01-13 20:11:08,1845.85,Completed,0.64,14.5,33,815
136,Driver,Ola,19.03812554148292,72.77440998435786,2025-01-19 13:25:32,2025-01-19 17:25:32,582.34,In-progress,0.78,2.4,113,152
137,Freelance,Fiverr,19.461213546174903,72.89919509876432,2025-01-11 02:54:11,2025-01-11 06:54:11,4278.56,Completed,0.65,11.3,91,489
138,Delivery,Swiggy,18.70942107848133,72.97634377160908,2025-01-13 19:24:55,2025-01-13 22:24:55,4095.47,In-progress,0.81,12.8,39,106
139,Delivery,MagicPin,19.447011539102085,72.98972646130554,2025-01-13 11:42:45,2025-01-13 14:42:45,895.04,In-progress,0.62,8.7,153,653
140,Driver,Uber,19.19717495176636,72.78029388217088,2025-01-11 05:09:07,2025-01-11 10:09:07,511.74,In-progress,0.55,4.2,148,648
141,Freelance,Fiverr,19.38191905770492,72.71856384011427,2025-01-14 09:36:04,2025-01-14 12:36:04,2378.27,In-progress,0.61,8.5,20,483
142,Freelance,Fiverr,19.170460986969264,72.84992825498793,2025-01-19 18:16:59,2025-01-19 22:16:59,2675.11,Cancelled,0.89,10.6,146,678
143,Delivery,MagicPin,19.2191171590256,72.99170449516447,2025-01-02 20:08:01,2025-01-02 23:08:01,3369.78,Completed,0.98,13.5,59,905
144,Delivery,Swiggy,18.728093237167734,72.71792344739382,2025-01-05 04:38:17,2025-01-05 06:38:17,3395.75,Completed,0.58,7.1,15,15
145,Delivery,Zomato,18.953735258748452,72.77000187668219,2025-01-03 22:36:32,2025-01-04 02:36:32,877.06,In-progress,0.84,2.3,107,148
146,Driver,Uber,19.230108863266462,72.81804582549621,2025-01-09 01:34:11,2025-01-09 02:34:11,4256.36,In-progress,0.94,4.7,25,291
147,Delivery,Zepto,19.044160203629065,72.74695808571113,2025-01-04 21:18:25,2025-01-04 23:18:25,2779.53,Cancelled,0.76,6.4,105,788
148,Driver,InDrive,18.561301641371504,72.73198445965433,2025-01-01 19:52:31,2025-01-01 23:52:31,3970.2,Cancelled,0.68,2.1,33,547
149,Freelance,Fiverr,19.11351968183199,72.78891712895968,2025-01-07 22:54:34,2025-01-07 23:54:34,579.85,In-progress,0.63,1.5,31,646
150,Driver,InDrive,18.522300167642666,72.89139178733814,2025-01-19 11:48:14,2025-01-19 13:48:14,3593.6,Cancelled,0.98,7.7,175,498
151,Driver,Ola,19.03790127975128,72.94284577145076,2025-01-05 02:38:32,2025-01-05 04:38:32,212.59,Cancelled,0.58,5.3,175,756
152,Delivery,Zomato,18.791058531623865,72.91027071082969,2025-01-07 04:01:59,2025-01-07 06:01:59,2397.52,Completed,0.57,8.7,107,42
153,Delivery,Zomato,19.350196496121903,72.90905696989967,2025-01-18 15:24:02,2025-01-18 17:24:02,3489.53,Cancelled,0.87,7.7,79,645
154,Driver,Uber,19.20887330027222,72.73025117985007,2025-01-04 15:46:09,2025-01-04 18:46:09,2272.82,Cancelled,0.69,2.4,118,838
155,Delivery,Blinkit,19.18696729256003,72.99006118076042,2025-01-19 13:46:27,2025-01-19 17:46:27,3662.87,Cancelled,0.81,13.5,177,200
156,Freelance,Fiverr,18.66889617228093,72.83563209681814,2025-01-01 18:59:23,2025-01-01 20:59:23,3940.53,Cancelled,0.72,12.9,89,876
157,Freelance,Fiverr,19.07385161853304,72.77202762657623,2025-01-06 19:36:54,2025-01-07 00:36:54,3355.35,Cancelled,0.87,10.4,101,252
158,Freelance,Fiverr,19.11722061913081,72.77801558131979,2025-01-04 09:30:01,2025-01-04 10:30:01,3188.0,Cancelled,0.77,8.2,154,300
159,Driver,Ola,19.050672046700637,72.96506231307131,2025-01-05 12:56:34,2025-01-05 17:56:34,2327.66,Completed,0.67,1.1,139,794
160,Delivery,Zomato,19.15027487520139,72.84796926257916,2025-01-08 09:38:30,2025-01-08 14:38:30,3169.93,Completed,0.86,12.8,43,258
161,Driver,InDrive,19.103921210094054,72.72158322828096,2025-01-12 18:40:45,2025-01-12 20:40:45,3144.8,Cancelled,0.55,5.5,139,915
162,Delivery,Swiggy,19.21003099253875,72.9451557472135,2025-01-09 20:15:59,2025-01-10 00:15:59,1801.66,Completed,0.67,15.0,35,43
163,Delivery,Blinkit,18.876666371142893,72.77413703548166,2025-01-01 14:32:09,2025-01-01 15:32:09,2782.61,Cancelled,0.88,1.3,87,419
164,Driver,Uber,19.35440468082793,72.71810991584667,2025-01-17 21:12:28,2025-01-17 22:12:28,3931.68,Completed,0.97,13.9,135,262
165,Driver,Uber,19.39590802453904,72.80226962460502,2025-01-03 21:10:24,2025-01-04 01:10:24,3355.08,In-progress,0.73,8.4,43,895
166,Driver,InDrive,19.420790300006935,72.99546400776387,2025-01-20 07:27:18,2025-01-20 08:27:18,2537.03,In-progress,0.79,5.0,36,133
167,Delivery,Swiggy,18.731494301810848,72.77789772774462,2025-01-20 21:05:53,2025-01-21 00:05:53,4983.43,Cancelled,0.85,11.0,66,219
168,Delivery,Swiggy,19.37522974900174,72.76831598698658,2025-01-06 04:45:17,2025-01-06 05:45:17,2261.21,In-progress,0.65,11.2,56,597
169,Delivery,Swiggy,18.539358419668325,72.95496284931708,2025-01-11 23:10:18,2025-01-12 00:10:18,4219.03,In-progress,0.83,2.3,60,374
170,Driver,InDrive,18.810344719476667,72.93401238731767,2025-01-16 12:36:40,2025-01-16 14:36:40,572.89,In-progress,0.9,3.5,53,424
171,Delivery,Zomato,18.815571400635132,72.7192881843079,2025-01-07 15:16:13,2025-01-07 18:16:13,3580.13,In-progress,0.93,2.3,60,151
172,Delivery,Zepto,18.855567360672172,72.8966783647292,2025-01-14 08:00:31,2025-01-14 11:00:31,1266.86,In-progress,0.9,1.1,108,303
173,Freelance,Fiverr,18.70885208252309,72.73902499608674,2025-01-19 11:16:35,2025-01-19 13:16:35,1370.59,Completed,0.62,1.4,46,643
174,Driver,Uber,19.390991706049842,72.7234106281162,2025-01-16 16:43:22,2025-01-16 19:43:22,2067.07,Cancelled,0.53,9.0,28,335
175,Delivery,Blinkit,19.001496549088092,72.76597116691177,2025-01-04 03:52:21,2025-01-04 04:52:21,1591.27,In-progress,0.98,7.4,57,99
176,Delivery,Zepto,19.346930915847786,72.70784885490475,2025-01-13 01:24:41,2025-01-13 06:24:41,2344.19,Cancelled,0.76,8.3,113,557
177,Delivery,MagicPin,19.098584424801953,72.86526077657365,2025-01-11 02:21:21,2025-01-11 06:21:21,3489.78,In-progress,0.73,11.6,22,399
178,Delivery,Zomato,18.5125979750821,72.86898542231357,2025-01-06 02:21:14,2025-01-06 07:21:14,3388.49,In-progress,0.63,13.1,33,32
179,Freelance,Fiverr,19.108338771332303,72.8003281227256,2025-01-06 12:25:51,2025-01-06 13:25:51,1226.61,Cancelled,0.64,14.8,35,156
180,Freelance,Fiverr,18.59851867475328,72.92154478157664,2025-01-04 22:09:33,2025-01-04 23:09:33,3127.13,In-progress,0.51,9.2,11,464
181,Delivery,Swiggy,19.292719398956134,72.82244932714723,2025-01-01 01:12:40,2025-01-01 03:12:40,2695.28,In-progress,0.69,4.6,82,42
182,Driver,Ola,18.827643781111437,72.82963608366222,2025-01-15 10:55:46,2025-01-15 11:55:46,4812.82,Completed,0.84,5.7,18,200
183,Freelance,Fiverr,18.729691743526075,72.8990250728553,2025-01-04 11:25:53,2025-01-04 14:25:53,3967.73,Cancelled,0.88,6.7,34,984
